job_url,job_name,salary_range,address,years,education,company_url,company_name
/job_detail/d42893d02be8c2ac1HB40tq8EVE~.html,python,7k-12k,西安 长安区 王寺,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/aa550dc5812c9e581HZ-2tm0GVY~.html,python,8k-12k,西安  ,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/3a8a68245eb3ba951nx609i8EFo~.html,Python,8k-12k,西安 长安区 ,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/8863988668a45ad41X1-3ty4E1E~.html,Python,8k-12k,西安 雁塔区 ,1年以内,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/8a688eeb1361a6431HB42Nu7GFY~.html,Python,9k-14k,西安  ,经验不限,本科,/gongsi/2d208a8834e4a58203d43Q~~.html,中软国际
/job_detail/e0a08f88c982a0f51nR-29q5EVI~.html,Python,9k-14k,西安  ,1-3年,本科,/gongsi/2d208a8834e4a58203d43Q~~.html,中软国际
/job_detail/2c6fa7a69617b57b1XV72dW6ElU~.html,python,8k-13k,西安  ,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/b3af32181404ddde1Hd-3Ny9FVo~.html,Python自动化,9k-14k,西安  ,3-5年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/871c20a735aa01461Xdy2tm4GFs~.html,Python,7k-14k,西安 长安区 王寺,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/4af43f4e20d01d661XV73dy5GVI~.html,python,10k-20k,西安  ,3-5年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/aa25432b3000ddc21XZ50t68GVE~.html,Python,9k-18k,西安  ,经验不限,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/917987ead3f713761Hd90tW-EVY~.html,python,9k-14k,西安  ,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/4a6588aa137a73fa1Xxz2d20ElY~.html,Python,10k-20k,西安  ,3-5年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/bd651e149fb2fab51XFz0925ElY~.html,Python,7k-14k,西安 长安区 王寺,1-3年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/a8937d8c20679cf01X152N-0F1I~.html,Python,8k-16k,西安  ,经验不限,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/97c36413e68ff5181XFy2dq6E1s~.html,Python开发,8k-16k,西安 长安区 ,经验不限,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
/job_detail/741810bb8602889f0XV43t60EA~~.html,Python,8k-16k,西安 雁塔区 ,1-3年,本科,/gongsi/2d208a8834e4a58203d43Q~~.html,中软国际
/job_detail/9ae45d5fc9567ab41Xd43ty_FFQ~.html,Python,7k-12k,西安  ,1-3年,本科,/gongsi/2d208a8834e4a58203d43Q~~.html,中软国际
/job_detail/a4029524532372511Xx73Ni8F1U~.html,python开发,9k-17k,西安 长安区 王寺,3-5年,本科,/gongsi/29c1ab68d5e3d3360nN63Q~~.html,软通动力
